kd_kel;kd_kec;nm_kel
3201082010;320108;Cibatutiga
3201092001;320109;Wargajaya
3201092002;320109;Pabuaran
3201092003;320109;Sukadamai
3201092004;320109;Sukawangi
3201092005;320109;Cibadak
3201092006;320109;Sukaresmi
3201092007;320109;Sukamulya
3201092008;320109;Sukaharja
3201092009;320109;Sirnajaya
3201092010;320109;Sukamakmur
3201102001;320110;Parung
3201102002;320110;Iwul
3201102003;320110;Bojongsempu
3201102004;320110;Waru
3201102005;320110;Cogreg
3201102006;320110;Pamegarsari
3201102007;320110;Warujaya
3201102008;320110;Bojongindah
3201102009;320110;Jabonmekar
3201112001;320111;Cidokom
3201112002;320111;Padurenan
3201112003;320111;Pengasinan
3201112004;320111;Curug
3201112005;320111;Gunungsindur
3201112006;320111;Jampang
3201112007;320111;Cibadung
3201112008;320111;Cibinong
3201112009;320111;Rawakalong
3201112010;320111;Pabuaran
3201122001;320112;Bojong
3201122002;320112;Parakanjaya
3201122003;320112;Kemang
3201122004;320112;Pabuaran
3201122005;320112;Semplak Barat
3201121006;320112;Atang Senjaya
3201122007;320112;Jampang
3201122008;320112;Pondok Udik
3201122009;320112;Tegal
3201132001;320113;Bojongbaru
3201132002;320113;Cimanggis
3201132003;320113;Susukan
3201132004;320113;Ragajaya
3201132005;320113;Kedungwaringin
3201132006;320113;Waringinjaya
3201132007;320113;Pabuaran
3201132008;320113;Rawapanjang
3201132009;320113;Bojonggede
3201142001;320114;Leuwiliang
3201142002;320114;Purasari
3201142003;320114;Karyasari
3201142004;320114;Pabangbon
3201142005;320114;Karacak
3201142006;320114;Barengkok
3201142007;320114;Leuwimekar
3201142008;320114;Puraseda
3201142009;320114;Cibeber I
3201142010;320114;Cibeber II
3201142011;320114;Karehkel
3201152001;320115;Ciampea
3201152002;320115;Cinangka
3201152003;320115;Cihideungudik
3201152004;320115;Bojongjengkol
3201152005;320115;Tegalwaru
3201152006;320115;Cibuntu
3201152007;320115;Cicadas
3201152008;320115;Cibadak
3201152009;320115;Bojongrangkas
3201152010;320115;Cihideunghilir
3201152011;320115;Cibanteng
3201152012;320115;Benteng
3201152013;320115;Ciampea Udik
3201162001;320116;Situ Udik
3201162002;320116;Situ Ilir
3201162003;320116;Cemplang
3201162004;320116;Cibatok I
3201162005;320116;Ciaruteun Udik
3201162006;320116;Leuwi Kolot
3201162007;320116;Cimanggu I
3201162008;320116;Cimanggu II
3201162009;320116;Dukuh
3201162010;320116;Cijujung
3201162011;320116;Ciaruteun Ilir
3201162012;320116;Cibatok II
3201162013;320116;Sukamaju
3201162014;320116;Galuga
3201162015;320116;Girimulya
3201172001;320117;Purwabakti
3201172002;320117;Cibunian
3201172003;320117;Cibitungwetan
3201172004;320117;Gunungmenyan
3201172005;320117;Gunungbunder II
3201172006;320117;Pasarean
3201172007;320117;Cimayang
3201172008;320117;Pamijahan
3201172009;320117;Cibening
3201172010;320117;Gunungbunder I
3201172011;320117;Cibitung Kulon
3201172012;320117;Gunung Picung
3201172013;320117;Ciasihan
3201172014;320117;Gunungsari
3201172015;320117;Ciasmara
3201182001;320118;Rumpin
3201182002;320118;Leuwibatu
3201182003;320118;Cidokom
3201182004;320118;Gobang
3201182005;320118;Cibodas
3201182006;320118;Rabak
3201182007;320118;Kampungsawah
3201182008;320118;Cipinang
3201182009;320118;Sukasari
3201182010;320118;Tamansari
3201182011;320118;Kertajaya
3201182012;320118;Sukamulya
3201182013;320118;Mekarsari
3201182014;320118;Mekarjaya
3201192001;320119;Curug
3201192002;320119;Pangradin
